s22t13 dmee
0.108101 0.002337 
0.108283 0.002337 
0.108465 0.002337 
0.108647 0.002337 
0.108829 0.002337 
0.109011 0.002337 
0.109193 0.002337 
0.109376 0.002337 
0.109559 0.002337 
0.109741 0.002337 
0.109924 0.002337 
0.110107 0.002337 
0.110291 0.002337 
0.110474 0.002337 
0.110658 0.002337 
0.110841 0.002337 
0.111025 0.002337 
0.111209 0.002337 
0.111393 0.002337 
0.111577 0.002337 
0.111761 0.002337 
0.111946 0.002337 
0.11213 0.002337 
0.112315 0.002337 
0.1125 0.002337 
0.112685 0.002337 
0.11287 0.002337 
0.113055 0.002337 
0.11324 0.002337 
0.113426 0.002337 
0.113611 0.002337 
0.113797 0.002337 
0.113983 0.002337 
0.114169 0.002337 
0.114355 0.002337 
0.114541 0.002337 
0.114728 0.002337 
0.114914 0.002337 
0.115101 0.002337 
0.115288 0.002337 
0.115475 0.002337 
0.115662 0.002337 
0.115849 0.002337 
0.116036 0.002337 
0.116224 0.002337 
0.116411 0.002337 
0.116599 0.002337 
0.116787 0.002337 
0.116975 0.002337 
0.117163 0.002337 
0.117351 0.002337 
0.117539 0.002337 
0.117728 0.002337 
0.117916 0.002337 
0.118105 0.002337 
0.118294 0.002337 
0.118483 0.002337 
0.118672 0.002337 
0.118862 0.002337 
0.0752996 0.00234 
0.0754541 0.00234 
0.0756087 0.00234 
0.0757634 0.00234 
0.0759183 0.00234 
0.0760734 0.00234 
0.0762285 0.00234 
0.0763839 0.00234 
0.0765393 0.00234 
0.076695 0.00234 
0.0768507 0.00234 
0.0770066 0.00234 
0.0771627 0.00234 
0.0773189 0.00234 
0.0774752 0.00234 
0.0776317 0.00234 
0.0777884 0.00234 
0.0779452 0.00234 
0.0781021 0.00234 
0.0782591 0.00234 
0.0784164 0.00234 
0.0785737 0.00234 
0.0787312 0.00234 
0.0788889 0.00234 
0.0790466 0.00234 
0.0792046 0.00234 
0.0793627 0.00234 
0.0795209 0.00234 
0.0796792 0.00234 
0.0798378 0.00234 
0.0799964 0.00234 
0.0801552 0.00234 
0.0803141 0.00234 
0.0804732 0.00234 
0.0806325 0.00234 
0.0807918 0.00234 
0.0809513 0.00234 
0.081111 0.00234 
0.0812708 0.00234 
0.0814307 0.00234 
0.0815908 0.00234 
0.0817511 0.00234 
0.0819114 0.00234 
0.082072 0.00234 
0.0822326 0.00234 
0.0823934 0.00234 
0.0825544 0.00234 
0.0827155 0.00234 
0.0828767 0.00234 
0.0830381 0.00234 
0.0831996 0.00234 
0.0833613 0.00234 
0.0835231 0.00234 
